name,itemType,shellfish,egg,fish,dairy,molluscs,mustard,peanuts,sesame,soy,sulphites,treeNuts,wheat,gluten,vegetarian,vegan,Image
Blackened Chicken,MAINS,0,0,0,2,0,0,0,0,2,2,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/n9IEyqKHnaBSk9fHNBp3.png
BBQ Pork Ribs - 1/2 rack,MAINS,0,0,0,2,0,2,0,0,2,0,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/j8gwJ34r8PQjrnF0R7Bl.png
BBQ Pork Ribs - full rack,MAINS,0,0,0,2,0,2,0,0,2,0,0,2,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/wn8MOiUU48KlDFELszwI.png
Keg Burger,MAINS,0,2,0,2,0,2,0,0,2,2,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/zXpzAVHIgsRHeHvPUT2w.png
Vegetarian Meatloaf,MAINS,0,0,0,0,0,0,0,2,2,2,0,2,2,0,0,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/ePi9QLPw3pOuruSpsnvD.png
Vegan Shepherd's Pie,MAINS,0,0,0,0,0,2,0,0,2,2,0,2,0,0,0,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/2JjQ3ZJCuMtx0WdGRg2N.png
Pistachio Crusted Salmon,MAINS,0,0,2,2,0,0,0,0,2,0,2,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/xwHP1mpm8HPmPcaQ7s5f.png
Lobster Tail Dinner,MAINS,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/TFVSCRe42266U8W7kqK9.png
Prime Rib Sandwich,MAINS,0,2,2,2,0,0,0,0,2,2,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/21MaYQ93ZXI7lWXHuQzE.png
Steak Sandwich,MAINS,0,2,2,2,0,0,0,0,2,2,0,2,2,2,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/8qfuvNZ74kdpLjkxRDfw/pub/RnPL724eSVPO0TzDGKGn.png
